"HolderAddress","Balance","PendingBalanceUpdate"
"0x48956458021aebd5ef3035b81e50a39fc2ff6298","0.1","No"
"0x2916529db6200fb7ab7ac9ba660279b6713f3183","0.1","No"
"0x329e3b75bc59429facffbd4027c2ea2ec43141f4","0.1","No"
"0x5d825ed601aed93d1ce49cadc08eb48fe5240d7d","0.1","No"
"0x240a0e843dc4d430b8ee0a6a1027c31f452dceb7","0.1","No"
"0xeb944b4d1c88ab8450aa25a7fa0d45d8fea37236","0.1","No"
"0x05526bb687f55db889d57642e9712687a9239a4f","0.09978","No"
"0x27c9c9494fcd44e3643e5f9431873222402c7dd2","0.099765","No"
"0x69c77154086f4c577a3fe1a2783d402cb68862f6","0.099755","No"
"0x93b5e450ed0e1f81d4550711a7d6ab369354b42a","0.099748","No"
"0x0f075df1274b1215798a869f81dfae66a7abd335","0.099748","No"
"0x484c7ed911d77e7ca276559f86b37aeb6b308466","0.099747","No"
"0xbc9c3869ee9b1448e6c0a55606495087808ccd8e","0.099741","No"
"0xaed12fb640343a8f40d64c5fecb32492661c1721","0.099736","No"
"0x7ea1d9539d3f9714c020cd7b2c996d17e96d4481","0.09972","No"
"0x9052e7c6974aeb82132ce0d8b4128a163dc5db3b","0.099719","No"
"0x8b5f81bb83db16266e9b86aae2d2a4e5f26933f6","0.099702","No"
"0xbdb0c75bbbeb61bc6bbcadb61262723f9f33d8cf","0.099684","No"
"0xb995978415c03a0ea215e9ed0e0a2f44f84ecd3f","0.099684","No"
"0x90af0746a0f66e28ea98f108ea932075f83bc577","0.099682","No"
"0x82a76c1079f8d0df47e2edb116cb704bc1f6c1d4","0.099592","No"
"0xfdeaa79546dfaa91f5041947ae491a062a8da0d4","0.099548","No"
"0x313f4728233eed22b3937c1d718f6339096baab1","0.098555","No"
"0x85cc4f3b65e94ebec1307905f8731b68fee16909","0.096525","No"
"0x9276a15f2bebe0ea5a04a6c4ed3015552110785b","0.093983","No"
"0x77041c7fc479e9361055bfb3f863d7a6e1a6dd1a","0.0878","No"
"0xfaf4c08b53eca25ec9f0ad8fc99f0d447811ac04","0.086431","No"
"0x7d22af94809c95324c81cbbcfd7c26c9d4b665d8","0.084478","No"
"0xb600e360cd1145587bd55cdad07aadb60f5e789e","0.075661","No"
"0xcb09889629b1187dd924e6ccf2fd30af5da8cec9","0.073465","No"
"0x0e5b133531b46acc0c09d4c0dd48f3e2ec178ae5","0.072903","No"
"0x24c6e8dc800e545b93705c0be79ae7a2a5485a18","0.070048","No"
"0xfa0610271880074ef0864c4ec0e96f4b8f916074","0.067946","No"
"0xe15ce4fe8565cd2a84a50f66ac4772bf4a7f0c52","0.06501","No"
"0x73d5aaeaa44ab363f9548c55237ad6b34e42517d","0.06314732","No"
"0x1588b98f5b9d81ed78b42daad98dac74d8f32e0e","0.062979","No"
"0xe234a8b7e3ce6bf066583fcdce67b688e0fd8ee1","0.062483","No"
"0x89532f39760efc46dd7a55063123ef2b2a92fbe0","0.06232385","No"
"0x53e1a2567fe686dc1ec2daa57c582840f8d7b9f7","0.061574","No"
"0x3097c5594f8047f79510b01fe809d9a6972f04d3","0.061278","No"
"0x3a63d60ee191b6cacc6aac09b94378f2f431ceff","0.060778","No"
"0xe7476a8fdb1f7ebe75c6be64a326fa18cdc0fe90","0.06066","No"
"0xb9a1bda7f45ed58f7854633a53d3a64dbc8684e2","0.06000099","No"
"0x14e6eff98352256d8b0259720e6eb17cac955f4d","0.059383","No"
"0x3095ffe9061b6eadcec2eb435228b117a4d6ec2e","0.055593","No"
"0x75701acd7553d01982c0c1f9f96fa8d24d99ba6d","0.053321","No"
"0x2bb9055f68d5f72ca4c50055df8b4b3e36df54c0","0.053276","No"
"0xd2377ae28388d4d7ee1666ae16ea16971bc09995","0.05","No"
"0x539c907d2634ba4dacd8977e2654ddcd415a2b01","0.050000000000000003","No"
"0x3203beb12dd29dadf877a7790aedade0b132b6fc","0.05","No"
"0xb9f87ada4e2b7164dd198d8c22ff38cbf8731438","0.05","No"
"0xd0a453affe38fdf7074c3b0bb19052292c357ff7","0.05","No"
"0xad79579eecef31f4719426232d7b527b17b84f85","0.0493","No"
"0xe2dc7278bde9f52879eadb17a6ebb56584a318e6","0.048900999999999953","No"
"0x0b3837b155b184bbd0eb77f36af8105b4945eecc","0.047653","No"
"0x0e54ec598d937f92a9846d2c65e56d60488a579c","0.046059","No"
"0xc05b9bb6f2d89e95f435e35d838d640a49189ecf","0.043483","No"
"0xbab0bb059b11eb80fdf1de683838635cac0fca75","0.041212","No"
"0xaa9cbb224c080a199a41312c2305061107187252","0.039998","No"
"0x5bc81274740a73d33ec8539182c326b8b58004c2","0.039733","No"
"0xac277f0d87a8534ce85d74f1b1b60808c866ad43","0.0397","No"
"0xab6a2efb647bedf2776ba5a3f94afcaa3d855101","0.03722","No"
"0x6e37cd9f13245a552e35ad1ee65a1ff9b325dd4a","0.036835","No"
"0x35c096fbbeef7cd42b79e5f8e3fb7709eb4b8248","0.036251","No"
"0xa9763478b0808e6de36bc9cc2c9bd720932d9ce2","0.034919","No"
"0x43c7fbe9c6a22701039448b1e8948ad83e447aed","0.034379","No"
"0xaae66c8b0b065f50eea11ee401b68f582fa1bfb9","0.032446","No"
"0xd7e82b49e76db4799d5505a54361004848c83884","0.031204","No"
"0x360e7137419660b2a2a77768515c84eafca44f0d","0.031088","No"
"0x4f1fafe76b6ab75f8d3afba870cf2a9b1f0f95a8","0.030491","No"
"0xae0e2a198db8c2fd34c3ffecda736853d8b96766","0.03","No"
"0x8c18576b230c5b60d12e03ef508d0173bf21f194","0.028843","No"
"0x6c179c8b8a7b2b90157eb7034e8d99096bb4b67b","0.027845","No"
"0x54dc0bd53437796db733f492b58ad43f5c2309ac","0.026536","No"
"0xac060d259542832bebed2bcb575f813ea9977fe8","0.026155","No"
"0xa51629b2b795f6d7aaa95b8952ea805518af46fd","0.026026","No"
"0xbf6cd86797750336a31f58375cdd69703022e7f6","0.025393","No"
"0xffe6ec00f3ccd6f045b32f50ae994aa6bb17d00c","0.025197","No"
"0xd086045e1219fed9bf4663990963fa51109b38f2","0.02499999","No"
"0x8a09f6f38027c99c37dc275ce94a4d9594de6e55","0.024727","No"
"0xe73d489d04dbf7da09b74fbfe03013a0ad4332f9","0.023964","No"
"0x0ef8b0e7ee5c7b537b1549f800d1631f9c39f962","0.023959","No"
"0x1e22f05dd7c0693db6f97d22b87474b6a08b9aed","0.023918","No"
"0x4a612d4e95943bec932f9b7a6bc3a0976b11a920","0.023377","No"
"0x3e68e0f7f6a56e9e23c8f71ee15bae0170b10711","0.023279","No"
"0x1fdf8d92ab2f36a1ef28f3e3e4cb0f57c0f4824b","0.023","No"
"0xb30d460cc2cf8db5b2bd8f3c507ed912f68a904e","0.022567","No"
"0x01f49d651a6022ed8ada2886a91910f3c7c29f71","0.022003","No"
"0x4a5b323940ec387ebb96f7f90c49c8a5e9121d1e","0.02123","No"
"0x32e2ae38f11d15fccdb5ef89e91cc181ab16676c","0.020234","No"
"0xc712100f8ed8a5ab38a6307bb492c99691a74d5e","0.020002","No"
"0x162d50fff19b3428a4fe5625421ee298b8deb270","0.019732","No"
"0xc0b5d46c04b7b73e0a3b41920bc7da9f29d8f024","0.019691","No"
"0x97d77961fa5443f2b66946189d1e0e21f1c67071","0.01968","No"
"0x8a92d2f9ec9985b356dd1cf7ef44eecc86722604","0.019474","No"
"0x288145ae8d3a315c3e2a5b541bb3316bcd955d14","0.019444","No"
"0x2cad783b6048b2385e9f94126062abac49faabaa","0.017814","No"
"0x9911b2afba456f9ef142c8f2e8d03d5dc308b6ac","0.017042","No"
"0x9bb502a813957efd4f9e3c28dfc0433df7057421","0.016077","No"
